"№","Авторы","Название","Год","Название источника","Организации","Авторы организаций","Сведения о финансировании","Текст о финансировании 1","Текст о финансировании 2","ISSN","Тип документа","EID","Квартили","SJR","Тематики"
"2861","Bashkin S.V., Karfidov A.O., Kornienko V.N., Lel’kov M.V., Mironov A.I., Morozov A.N., Svetlichnyi S.I., Tabalin S.E., Fufurin I.L.","An imaging Fourier transform spectroradiometer with a multi-element photodetector for the spectral range of 7–14 μm","2016","Optics and Spectroscopy (English translation of Optika i Spektroskopiya)","Bauman Moscow State Technical University, Moscow, Russian Federation; Talrose Institute for Energy Problems of Chemical Physics, Chernogolovka Branch, Russian Academy of Sciences, Chernogolovka, Moscow oblast, Russian Federation","Bashkin, S.V., Bauman Moscow State Technical University, Moscow, Russian Federation; Karfidov, A.O., Bauman Moscow State Technical University, Moscow, Russian Federation; Kornienko, V.N., Bauman Moscow State Technical University, Moscow, Russian Federation; Lel’kov, M.V., Bauman Moscow State Technical University, Moscow, Russian Federation; Mironov, A.I., Bauman Moscow State Technical University, Moscow, Russian Federation; Morozov, A.N., Bauman Moscow State Technical University, Moscow, Russian Federation; Svetlichnyi, S.I., Talrose Institute for Energy Problems of Chemical Physics, Chernogolovka Branch, Russian Academy of Sciences, Chernogolovka, Moscow oblast, Russian Federation; Tabalin, S.E., Bauman Moscow State Technical University, Moscow, Russian Federation; Fufurin, I.L., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","0030400X","Article","2-s2.0-84988036993","Q3","0.319","3107; 2504;"
"2862","Kalinichenko V.A., Soe A.N., Chashechkin Y.D.","Circulation flow patterns in the Faraday waves in the presence of damper plates","2016","Fluid Dynamics","Ishlinsky Institute for Problems in Mechanics, Russian Academy of Sciences, pr. Vernadskogo 101, Moscow, Russian Federation; Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5, Moscow, Russian Federation","Kalinichenko, V.A., Ishlinsky Institute for Problems in Mechanics, Russian Academy of Sciences, pr. Vernadskogo 101, Moscow, Russian Federation, Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5, Moscow, Russian Federation; Soe, A.N., Bauman Moscow State Technical University, ul. 2-ya Baumanskaya 5, Moscow, Russian Federation; Chashechkin, Y.D., Ishlinsky Institute for Problems in Mechanics, Russian Academy of Sciences, pr. Vernadskogo 101, Moscow, Russian Federation","","","","154628","Article","2-s2.0-84992070864","Q2","0.345","1507; 3100; 2210;"
"2863","Borisov D., Golovina A., Veselić I.","Quantum Hamiltonians with Weak Random Abstract Perturbation. I. Initial Length Scale Estimate","2016","Annales Henri Poincare","Department of Differential Equations, Institute of Mathematics with Computer Center, Ufa Scientific Center, Russian Academy of Sciences, Chernyshevsky. st. 112, Ufa, Russian Federation; Faculty of Physics and Mathematics, Bashkir State Pedagogical University, October rev. st. 3a, Ufa, Russian Federation; Faculty of Science, University of Hradec Králové, Rokitanského 62, Hradec Králové, Czech Republic; Department of Fundamental Sciences, Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, building 1, Moscow, Russian Federation; Department of Mathematics, Technische Universität Chemnitz, Chemnitz, Germany","Borisov, D., Department of Differential Equations, Institute of Mathematics with Computer Center, Ufa Scientific Center, Russian Academy of Sciences, Chernyshevsky. st. 112, Ufa, Russian Federation, Faculty of Physics and Mathematics, Bashkir State Pedagogical University, October rev. st. 3a, Ufa, Russian Federation, Faculty of Science, University of Hradec Králové, Rokitanského 62, Hradec Králové, Czech Republic; Golovina, A., Department of Fundamental Sciences, Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, building 1, Moscow, Russian Federation; Veselić, I., Department of Mathematics, Technische Universität Chemnitz, Chemnitz, Germany","","","","14240637","Article","2-s2.0-84955309867","Q1","1.097","2610; 3106; 3109;"
"2864","Gorelik V.S., Pyatyshev A.Y., Krylov A.S.","Raman scattering in a ferroelectric sodium nitrite crystal","2016","Bulletin of the Russian Academy of Sciences: Physics","Lebedev Physical Institute, Russian Academy of Sciences, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation; AO NPP Istok, Fryazino, Russian Federation; Kirensky Institute of Physics, Siberian Branch, Russian Academy of Sciences, Krasnoyarsk, Russian Federation","Gorelik, V.S., Lebedev Physical Institute, Russian Academy of Sciences, Moscow, Russian Federation, Bauman Moscow State Technical University, Moscow, Russian Federation; Pyatyshev, A.Y., Bauman Moscow State Technical University, Moscow, Russian Federation, AO NPP Istok, Fryazino, Russian Federation; Krylov, A.S., Kirensky Institute of Physics, Siberian Branch, Russian Academy of Sciences, Krasnoyarsk, Russian Federation","","","","10628738","Article","2-s2.0-84989946795","Q3","0.242","3100;"
"2865","Karpov A.","The knowledge worker in the genesis of the socio-economic concept of the knowledge society","2016","Voprosy Filosofii","Bauman Moscow State Technical University, Russian Federation","Karpov, A., Bauman Moscow State Technical University, Russian Federation","","","","428744","Article","2-s2.0-85030666123","Q2","0.196","1211;"
"2866","Dolganova I.N., Zaytsev K.I., Metelkina A.A., Yurchenko S.O.","The active-passive continuous-wave terahertz imaging system","2016","Journal of Physics: Conference Series","Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation","Dolganova, I.N., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation; Zaytsev, K.I., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation; Metelkina, A.A., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation; Yurchenko, S.O., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation","","","","17426588","Conference Paper","2-s2.0-84989915560","Q3","0.241","3100;"
"2867","Gomon D.A., Sedykh E.A., Gill V.V., Zaitsev K.I., Khodzitsky M.K.","Modeling and experimental demonstration of terahertz frequency tunable metamaterial absorber","2016","Journal of Physics: Conference Series","ITMO University, Saint-Petersburg, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation","Gomon, D.A., ITMO University, Saint-Petersburg, Russian Federation; Sedykh, E.A., ITMO University, Saint-Petersburg, Russian Federation; Gill, V.V., ITMO University, Saint-Petersburg, Russian Federation; Zaitsev, K.I., Bauman Moscow State Technical University, Moscow, Russian Federation; Khodzitsky, M.K., ITMO University, Saint-Petersburg, Russian Federation","","","","17426588","Conference Paper","2-s2.0-84989947217","Q3","0.241","3100;"
"2868","Zaytsev K.I., Chernomyrdin N.V., Kudrin K.G., Gavdush A.A., Nosov P.A., Yurchenko S.O., Reshetov I.V.","In vivo terahertz pulsed spectroscopy of dysplastic and non-dysplastic skin nevi","2016","Journal of Physics: Conference Series","Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation; Institute of Improvement of Professional Skill of the Federal Medico-Biological Agency of Russia, Volokolamskoe shosse 91, Moscow, Russian Federation; I. M. Sechenov First Moscow State Medical University, Bolshaya Pirogovskaya st. 2, Moscow, Russian Federation","Zaytsev, K.I., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation, Institute of Improvement of Professional Skill of the Federal Medico-Biological Agency of Russia, Volokolamskoe shosse 91, Moscow, Russian Federation, I. M. Sechenov First Moscow State Medical University, Bolshaya Pirogovskaya st. 2, Moscow, Russian Federation; Chernomyrdin, N.V., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation, Institute of Improvement of Professional Skill of the Federal Medico-Biological Agency of Russia, Volokolamskoe shosse 91, Moscow, Russian Federation, I. M. Sechenov First Moscow State Medical University, Bolshaya Pirogovskaya st. 2, Moscow, Russian Federation; Kudrin, K.G., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation, Institute of Improvement of Professional Skill of the Federal Medico-Biological Agency of Russia, Volokolamskoe shosse 91, Moscow, Russian Federation, I. M. Sechenov First Moscow State Medical University, Bolshaya Pirogovskaya st. 2, Moscow, Russian Federation; Gavdush, A.A., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation; Nosov, P.A., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation; Yurchenko, S.O., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation, I. M. Sechenov First Moscow State Medical University, Bolshaya Pirogovskaya st. 2, Moscow, Russian Federation; Reshetov, I.V., Bauman Moscow State Technical University, 2nd Baumanskaya str. 5, Moscow, Russian Federation, Institute of Improvement of Professional Skill of the Federal Medico-Biological Agency of Russia, Volokolamskoe shosse 91, Moscow, Russian Federation, I. M. Sechenov First Moscow State Medical University, Bolshaya Pirogovskaya st. 2, Moscow, Russian Federation","14-08-31102, RFBR, Russian Foundation for Basic Research; 14-02-00781, RFBR, Russian Foundation for Basic Research","This work was supported by the Russian Foundation for Basic Research, Projects #14-02-00781, 14-08-31102, 14-15-00758, 14-08-31124, 14-02-00256.","","17426588","Conference Paper","2-s2.0-84989856592","Q3","0.241","3100;"
"2869","Shen K., Proletarsky A.V., Neusypin K.A.","Quantitative analysis of observability in linear time-varying systems","2016","Chinese Control Conference, CCC","Department of Informatics and Control Systems, Bauman Moscow State Technical University, Moscow, Russian Federation","Shen, K., Department of Informatics and Control Systems, Bauman Moscow State Technical University, Moscow, Russian Federation; Proletarsky, A.V., Department of Informatics and Control Systems, Bauman Moscow State Technical University, Moscow, Russian Federation; Neusypin, K.A., Department of Informatics and Control Systems, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","19341768","Conference Paper","2-s2.0-84987905534","0","0.155","0"
"2870","Nosov P.A., Shirankov A.F., Martynov G.N., Pavlov V.Y.","Elaboration of power optics for laser processing heads","2016","Proceedings - 2016 International Conference Laser Optics, LO 2016","Bauman Moscow State Technical University, Moscow, Russian Federation","Nosov, P.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Shirankov, A.F., Bauman Moscow State Technical University, Moscow, Russian Federation; Martynov, G.N., Bauman Moscow State Technical University, Moscow, Russian Federation; Pavlov, V.Y., Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84987911941","0","","2210; 2211; 3104; 2500; 1600;"
"2871","Zhirnov A.A., Pnev A.B., Karasik V.E., Stepanov K.V., Shelestov D.A., Norgia M., Pesatori A., Svelto C.","Adaptation of the Er-Yb microchip laser for use in phase-sensitive optical time domain reflectometry","2016","Proceedings - 2016 International Conference Laser Optics, LO 2016","SEC 'Photonics and IR-Technology', BMSTU, Moscow, Russian Federation; DEIB, Politecnico di Milano, Milan, Italy","Zhirnov, A.A., SEC 'Photonics and IR-Technology', BMSTU, Moscow, Russian Federation; Pnev, A.B., SEC 'Photonics and IR-Technology', BMSTU, Moscow, Russian Federation; Karasik, V.E., SEC 'Photonics and IR-Technology', BMSTU, Moscow, Russian Federation; Stepanov, K.V., SEC 'Photonics and IR-Technology', BMSTU, Moscow, Russian Federation; Shelestov, D.A., SEC 'Photonics and IR-Technology', BMSTU, Moscow, Russian Federation; Norgia, M., DEIB, Politecnico di Milano, Milan, Italy; Pesatori, A., DEIB, Politecnico di Milano, Milan, Italy; Svelto, C., DEIB, Politecnico di Milano, Milan, Italy","","","","","Conference Paper","2-s2.0-84987875476","0","","2210; 2211; 3104; 2500; 1600;"
"2872","Grechin S.G., Kochiev D.G., Kokh A.E., Sharikov A.N.","Damage of an AR-coated LBO crystal by laser pulses of microsecond duration","2016","Proceedings - 2016 International Conference Laser Optics, LO 2016","Bauman Moscow State Technical University, Moscow, Russian Federation; A. M. Prokhorov General Physics Institute of RAS, Moscow, Russian Federation; V. S. Sobolev Institute of Geology and Mineralogy, Siberian Branch of RAS, Novosibirsk, Russian Federation","Grechin, S.G., Bauman Moscow State Technical University, Moscow, Russian Federation; Kochiev, D.G., A. M. Prokhorov General Physics Institute of RAS, Moscow, Russian Federation; Kokh, A.E., V. S. Sobolev Institute of Geology and Mineralogy, Siberian Branch of RAS, Novosibirsk, Russian Federation; Sharikov, A.N., A. M. Prokhorov General Physics Institute of RAS, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84987892434","0","","2210; 2211; 3104; 2500; 1600;"
"2873","Arapov Yu.D., Grechin S.G., Kasyanov I.V.","LuAB crystal for frequency conversion","2016","Proceedings - 2016 International Conference Laser Optics, LO 2016","Russian Federal Nuclear Center, Zababakhin All-Russia Research Institute of Technical Physics, Snezhinsk, Russian Federation; Bauman Moscow State Technical University, 2-nd Bauman str., 5, bld. 1, Russian Federation","Arapov, Yu.D., Russian Federal Nuclear Center, Zababakhin All-Russia Research Institute of Technical Physics, Snezhinsk, Russian Federation; Grechin, S.G., Bauman Moscow State Technical University, 2-nd Bauman str., 5, bld. 1, Russian Federation; Kasyanov, I.V., Russian Federal Nuclear Center, Zababakhin All-Russia Research Institute of Technical Physics, Snezhinsk, Russian Federation","","","","","Conference Paper","2-s2.0-84987905152","0","","2210; 2211; 3104; 2500; 1600;"
"2874","Dvoretskiy D.A., Sazonkin S.G., Voropaev V.S., Leonov S.O., Pnev A.B., Karasik V.E., Krylov A.A., Obraztsova E.D.","Dispersion-managed soliton generation in the hybrid mode-locked erbium-doped all-fiber ring laser","2016","Proceedings - 2016 International Conference Laser Optics, LO 2016","Bauman Moscow State Technical University, Moscow, Russian Federation; Fiber Optics Research Center of the Russian Academy of Sciences, Moscow, Russian Federation; A. M. Prokhorov General Physics Institute of the Russian Academy of Sciences, Moscow, Russian Federation","Dvoretskiy, D.A., Bauman Moscow State Technical University, Moscow, Russian Federation; Sazonkin, S.G., Bauman Moscow State Technical University, Moscow, Russian Federation; Voropaev, V.S., Bauman Moscow State Technical University, Moscow, Russian Federation; Leonov, S.O., Bauman Moscow State Technical University, Moscow, Russian Federation; Pnev, A.B., Bauman Moscow State Technical University, Moscow, Russian Federation; Karasik, V.E., Bauman Moscow State Technical University, Moscow, Russian Federation; Krylov, A.A., Fiber Optics Research Center of the Russian Academy of Sciences, Moscow, Russian Federation; Obraztsova, E.D., A. M. Prokhorov General Physics Institute of the Russian Academy of Sciences, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84987875822","0","","2210; 2211; 3104; 2500; 1600;"
